2026-03-27 12:24:33 - rvtools - DEBUG - Building registered files from 113 VMs using vm.Layout.Disk (runtime)
2026-03-27 12:24:33 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:33 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:35 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:35 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:35 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:35 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:36 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:38 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:40 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:41 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:43 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:43 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:44 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:45 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:45 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
2026-03-27 12:24:48 - rvtools - DEBUG - Error collecting snapshot files: 'vim.vm.SnapshotTree' object has no attribute 'config'
